,rooms,area,price
0,3,66.8,367.801
1,3,55.03,289.458
2,4,70.8,389.0
3,1,29.02,195.695
4,2,45.76,265.754
5,2,38.99,236.614
6,3,55.7,317.967
7,4,76.42,409.0
8,2,37.6,227.211
9,3,59.51,351.704
10,2,38.79,259.893
11,4,109.66,675.615
12,3,78.65,413.699
13,2,58.36,302.305
14,1,46.31,314.908
15,4,70.8,389.0
16,3,65.5,270.0
17,5,120.0,527.0
18,4,67.37,347.0
19,4,86.36,390.0
20,3,83.64,439.946
21,3,86.36,390.0
22,7,187.0,895.0
23,4,100.59,730.0
24,3,47.0,313.5
25,2,48.44,251.0
26,2,52.4,289.9
27,3,59.0,384.0
28,3,71.4,417.7
29,3,70.44,421.5
30,3,61.22,285.0
31,3,66.0,374.0
32,4,101.0,455.0
33,4,96.53,604.7
34,3,69.41,339.0
35,2,62.3,359.9
36,3,62.71,545.0
37,2,46.1,239.729
38,2,58.19,333.196
39,4,74.59,320.737
40,2,48.0,285.0
41,3,63.0,365.0
42,1,32.03,240.0
43,5,81.6,359.0
44,3,73.49,410.0
45,3,81.5,429.0
46,4,89.97,315.0
47,4,60.0,269.0
48,3,64.0,305.0
49,3,59.0,270.5
50,2,49.3,245.0
51,2,56.17,299.0
52,2,31.0,183.0
53,2,57.0,300.0
54,4,93.0,489.9
55,5,105.9,595.0
56,2,39.53,207.928
57,2,33.0,238.0
58,4,64.6,349.9
59,3,65.0,185.0
60,3,57.5,323.4
61,2,47.0,279.0
62,2,58.0,320.0
63,2,40.2,245.2
64,3,60.0,249.0
65,2,45.9,257.0
66,2,47.1,310.0
67,4,73.76,494.0
68,2,45.3,244.57
69,2,38.0,208.8
70,2,33.66,185.13
71,2,35.83,197.0
72,3,64.0,380.0
73,3,66.85,340.0
74,3,64.4,361.0
75,3,75.0,425.0
76,3,76.0,399.0
77,3,68.41,499.0
78,3,65.0,465.0
79,3,57.8,188.0
80,2,49.0,276.85
81,2,47.5,340.0
82,3,74.0,330.0
83,2,47.9,295.0
84,2,56.31,369.0
85,4,82.1,444.0
86,4,82.1,444.0
87,4,92.77,494.0
88,4,93.49,499.0
89,4,94.17,504.0
90,3,54.2,385.0
91,2,53.8,325.0
92,2,55.3,424.427
93,4,81.6,650.76
94,2,36.0,210.0
95,3,60.9,279.0
96,2,50.7,306.735
97,3,60.0,349.0
98,3,66.24,466.5
99,3,80.5,524.064
100,4,90.7,780.02
101,1,37.5,224.9
102,2,55.31,329.0
103,4,95.0,470.0
104,3,89.97,499.0
105,1,31.0,175.0
106,2,55.0,359.0
107,3,65.0,445.0
108,3,62.1,375.0
109,2,48.0,280.0
110,5,104.0,585.0
111,1,37.2,209.0
112,2,47.5,242.0
113,2,38.0,250.0
114,3,54.3,317.655
115,3,60.0,349.0
116,2,53.33,369.0
117,2,56.5,369.0
118,3,69.48,369.0
119,3,93.0,640.0
120,3,54.6,225.0
121,2,53.6,251.92
122,2,50.2,258.0
123,2,56.3,264.61
124,3,76.0,410.0
125,2,39.2,217.56
126,3,53.5,286.225
127,3,62.5,351.562
128,3,66.0,375.0
129,3,64.0,339.0
130,3,76.0,350.0
131,3,64.0,369.0
132,4,70.0,440.0
133,3,83.0,529.0
134,2,47.41,179.0
135,3,50.02,265.106
136,3,58.6,326.109
137,3,61.1,333.912
138,2,64.73,335.0
139,3,60.57,349.792
140,3,56.0,370.0
141,3,56.02,374.0
142,3,72.86,380.0
143,3,64.09,415.0
144,4,83.8,502.55
145,3,69.5,547.312
146,3,59.0,250.0
147,2,48.0,279.0
148,3,56.0,333.9
149,3,67.0,380.0
150,4,76.42,409.0
151,2,47.68,259.9
152,3,59.2,307.84
153,3,52.0,338.0
154,3,69.2,357.0
155,3,79.27,371.9
156,3,64.17,391.244
157,5,83.98,425.0
158,3,68.0,360.0
159,2,68.0,407.9
160,2,38.43,216.322
161,3,58.0,350.0
162,3,63.31,350.737
163,4,83.35,430.0
164,2,36.9,309.96
165,3,56.19,320.0
166,3,48.2,404.88
167,2,49.5,415.8
168,3,63.0,435.0
169,2,36.0,220.0
170,2,47.0,279.0
171,2,53.0,326.0
172,3,65.0,419.0
173,2,54.77,283.709
174,2,52.0,290.0
175,2,48.88,307.944
176,3,59.09,317.904
177,2,51.32,323.316
178,3,64.12,338.554
179,3,65.25,344.52
180,4,90.0,349.0
181,3,71.29,383.54
182,3,65.78,414.414
183,2,61.36,509.0
184,4,88.0,550.0
185,2,46.17,240.0
186,2,80.0,333.0
187,4,84.0,1200.0
188,3,54.6,249.0
189,4,75.0,339.0
190,3,56.0,350.0
191,3,63.0,360.0
192,2,44.0,225.0
193,3,65.1,315.0
194,3,62.5,331.25
195,3,69.0,146.0
196,2,39.85,245.0
197,2,33.6,280.0
198,4,81.45,810.0
199,2,48.1,350.0
200,4,93.0,520.0
201,2,39.68,279.0
202,2,67.0,289.0
203,4,109.0,540.0
204,4,93.0,650.0
205,4,60.0,269.6
206,3,74.0,470.0
207,2,53.29,470.711
208,3,70.25,603.518
209,3,75.71,677.907
210,3,76.03,700.845
211,3,86.81,842.057
212,4,94.7,918.59
213,4,94.91,930.118
214,3,48.0,289.0
215,2,31.87,226.277
216,2,51.0,275.0
217,2,45.0,285.0
218,4,71.0,395.0
219,3,70.0,430.0
220,2,33.67,185.185
221,2,34.58,190.19
222,2,44.0,290.0
223,2,75.0,320.0
224,3,54.24,339.0
225,2,79.7,724.188
226,3,52.0,891.0
227,1,24.97,153.378
228,2,36.0,209.0
229,3,64.19,269.598
230,3,53.85,317.202
231,4,61.39,354.462
232,4,116.0,578.377
233,1,35.87,193.0
234,2,41.88,208.0
235,2,41.88,214.0
236,2,41.88,214.0
237,2,41.88,224.0
238,2,41.88,224.0
239,2,41.88,224.0
240,2,41.88,224.0
241,2,41.88,224.0
242,2,47.64,236.0
243,2,47.64,243.0
244,2,47.64,255.0
245,2,47.71,255.0
246,2,47.64,255.0
247,2,47.64,255.0
248,2,47.64,255.0
249,3,57.6,294.0
250,3,57.56,294.0
251,2,53.7,295.0
252,2,55.45,232.89
253,2,54.0,329.9
254,3,52.0,330.0
255,3,82.48,370.0
256,2,58.0,371.0
257,2,62.0,310.0
258,5,80.22,481.359
259,4,139.94,1007.568
260,2,52.0,288.0
261,1,25.88,139.752
262,2,42.0,218.0
263,2,57.0,259.0
264,4,93.0,495.0
265,3,44.0,310.0
266,2,48.16,400.0
267,3,93.0,900.0
268,2,34.12,266.136
269,2,59.5,286.0
270,4,87.0,900.0
271,3,46.18,272.462
272,2,32.4,188.0
273,2,38.94,238.9
274,4,74.0,480.0
275,4,90.0,699.0
276,4,111.0,769.0
277,4,83.0,1200.0
278,3,66.0,439.0
279,1,34.65,225.0
280,3,66.0,415.0
281,2,47.21,275.0
282,4,103.0,450.0
283,1,34.0,215.0
284,3,70.0,319.0
285,1,36.6,204.923
286,2,41.9,226.218
287,3,67.7,351.972
288,2,37.98,212.688
289,3,46.68,275.412
290,1,37.08,209.565
291,2,51.5,258.49
292,2,51.6,330.0
293,2,37.0,255.0
294,3,54.0,375.0
295,3,50.0,259.0
296,3,68.66,309.0
297,3,48.0,269.9
298,3,61.79,345.4
299,3,56.02,300.0
300,4,76.0,380.0
301,3,48.0,299.0
302,2,58.92,419.0
303,1,26.5,115.0
304,3,110.0,476.0
305,3,65.8,363.0
306,3,72.0,310.0
307,3,101.0,469.0
308,2,39.0,245.7
309,2,47.4,303.3
310,2,50.1,308.1
311,3,55.3,275.9
312,4,92.12,385.9
313,4,68.4,444.0
314,2,45.77,289.0
315,4,80.74,371.4
316,3,58.8,389.0
317,2,48.19,320.0
318,3,67.7,351.9
319,2,45.7,257.1
320,3,56.84,323.4
321,3,57.5,323.4
322,3,54.68,347.0
323,4,73.33,499.0
324,4,82.79,514.0
325,2,36.4,202.566
326,3,65.7,341.0
327,3,58.62,379.0
328,4,88.44,539.0
329,2,47.0,225.0
330,2,46.3,250.715
331,2,45.6,257.2
